heuristic,algorithm,n,solved,real_avg,h_avg,diff_std,diff_max,over_rate,cost_avg,subopt_avg,exp_avg,gen_avg,time_avg,h_frac
"classifier(temperature=2.0,threshold=0.2)",wastar(w=2.0),1000,1000,45.324,43.358,1.6460721592790375,4.0,0.033,49.852,1.097763003933964,65.24,213.235,0.05207630000000001,0.8285266042326364
"classifier(temperature=2.0,threshold=0.2)",wastar(w=5.0),1000,1000,45.324,43.358,1.6460721592790375,4.0,0.033,51.084,1.1245074936595452,61.423,201.313,0.044033299999999984,0.8279120574656009
"classifier(temperature=2.0,threshold=0.3)",gbfs,1000,1000,45.324,44.052,1.6378945932808675,4.0,0.073,53.624,1.1795013797922957,60.276,197.877,0.048871599999999966,0.8291666325636988
"classifier(temperature=2.0,threshold=0.3)",idastar(w=1.0),1000,1000,45.324,44.052,1.6378945932808675,4.0,0.073,46.304,1.0213072151242943,515.364,1156.705,0.28579300000000024,0.961801723625141
"classifier(temperature=2.0,threshold=0.3)",wastar(w=1.0),1000,1000,45.324,44.052,1.6378945932808675,4.0,0.073,45.992,1.0144065066393035,239.015,774.063,0.2053577999999999,0.8240807020721891
"classifier(temperature=2.0,threshold=0.3)",wastar(w=10.0),1000,1000,45.324,44.052,1.6378945932808675,4.0,0.073,50.956,1.1218998749533589,60.515,198.545,0.04901380000000003,0.8293092965654559
"classifier(temperature=2.0,threshold=0.3)",wastar(w=2.0),1000,1000,45.324,44.052,1.6378945932808675,4.0,0.073,49.628,1.0929767791232434,62.983,206.193,0.05122329999999995,0.8285038254075779
"classifier(temperature=2.0,threshold=0.3)",wastar(w=5.0),1000,1000,45.324,44.052,1.6378945932808675,4.0,0.073,50.92,1.1211253558492744,60.557,198.658,0.04902489999999994,0.829239835267385
"classifier(temperature=2.0,threshold=0.4)",gbfs,1000,1000,45.324,44.68,1.6455916783856108,6.0,0.145,53.976,1.1864817878323344,60.558,198.871,0.04972810000000008,0.8279886020177705
"classifier(temperature=2.0,threshold=0.4)",idastar(w=1.0),1000,1000,45.324,44.68,1.6455916783856108,6.0,0.145,46.502,1.0257260241726425,371.406,836.744,0.2171376999999998,0.9631828098022592
"classifier(temperature=2.0,threshold=0.4)",wastar(w=1.0),1000,1000,45.324,44.68,1.6455916783856108,6.0,0.145,46.116,1.0171540785542221,194.231,630.343,0.1698244,0.8234252557347479
"classifier(temperature=2.0,threshold=0.4)",wastar(w=10.0),1000,1000,45.324,44.68,1.6455916783856108,6.0,0.145,51.346,1.12949076928506,61.091,200.592,0.050353399999999916,0.8279162876786883
"classifier(temperature=2.0,threshold=0.4)",wastar(w=2.0),1000,1000,45.324,44.68,1.6455916783856108,6.0,0.145,49.854,1.0973021627794755,63.384,207.894,0.05184689999999992,0.8277139038206734
"classifier(temperature=2.0,threshold=0.4)",wastar(w=5.0),1000,1000,45.324,44.68,1.6455916783856108,6.0,0.145,51.308,1.1285487130575347,61.101,200.608,0.05025119999999995,0.8279065972553901
"classifier(temperature=2.0,threshold=0.5)",gbfs,1000,1000,45.324,45.178,1.6325897676236212,6.0,0.221,53.438,1.1755817141591847,59.663,195.847,0.04545820000000004,0.8297204904725647
"classifier(temperature=2.0,threshold=0.5)",idastar(w=1.0),1000,1000,45.324,45.178,1.6325897676236212,6.0,0.221,46.75,1.0314052493490231,295.299,667.191,0.1650765999999998,0.9646988125512663
"classifier(temperature=2.0,threshold=0.5)",wastar(w=1.0),1000,1000,45.324,45.178,1.6325897676236212,6.0,0.221,46.22,1.0195907396222856,163.434,531.681,0.12897900000000007,0.8258235836841645
"classifier(temperature=2.0,threshold=0.5)",wastar(w=10.0),1000,1000,45.324,45.178,1.6325897676236212,6.0,0.221,50.89,1.1203350859834418,60.196,197.583,0.04840879999999996,0.829708648014411
"classifier(temperature=2.0,threshold=0.5)",wastar(w=2.0),1000,1000,45.324,45.178,1.6325897676236212,6.0,0.221,49.71,1.09489221385514,62.571,204.992,0.05036489999999997,0.8293772051567664
"classifier(temperature=2.0,threshold=0.5)",wastar(w=5.0),1000,1000,45.324,45.178,1.6325897676236212,6.0,0.221,50.838,1.1192566109077928,60.222,197.663,0.04861789999999999,0.8296018544610106
